mal_id,title_eng,title_jap,episodes,year,image,trailer
81,Mobile Suit Gundam: The 08th MS Team,機動戦士ガンダム 第08MS小隊,12,1996,https://cdn.myanimelist.net/images/anime/9/75618.webp,https://www.youtube.com/watch?v=HJVC_d1tMLc
82,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,6,1989,https://cdn.myanimelist.net/images/anime/1/82.webp,https://www.youtube.com/watch?v=2dWmXQLb0qw
302,Future Boy Conan,未来少年コナン,26,1978,https://cdn.myanimelist.net/images/anime/6/17529.webp,
338,The Rose of Versailles,ベルサイユのばら,40,1979,https://cdn.myanimelist.net/images/anime/9/57043.webp,https://www.youtube.com/watch?v=XMRtUOOHT_o
535,Slayers Next,スレイヤーズNEXT,26,1996,https://cdn.myanimelist.net/images/anime/1165/92536.webp,
558,,メジャー (第2シリーズ),26,2005,https://cdn.myanimelist.net/images/anime/6/73972.webp,
589,Silver Fang,銀牙　流れ星銀,21,1986,https://cdn.myanimelist.net/images/anime/3/47461.webp,
731,,インターステラ5555,1,2003,https://cdn.myanimelist.net/images/anime/5/82786.webp,https://www.youtube.com/watch?v=qfXYnIhOOtc
781,Case Closed Movie 03: The Last Wizard of the Century,名探偵コナン 世紀末の魔術師,1,1999,https://cdn.myanimelist.net/images/anime/1831/94317.webp,
851,,今日から俺は！！,10,1993,https://cdn.myanimelist.net/images/anime/1042/110294.webp,
962,Aria the Natural,ARIA The NATURAL,26,2006,https://cdn.myanimelist.net/images/anime/2/77621.webp,https://www.youtube.com/watch?v=L4o29FP2C64
1023,Wolf's Rain OVA,ウルフズ・レイン,4,2004,https://cdn.myanimelist.net/images/anime/1091/134883.webp,
1065,,タッチ,101,1985,https://cdn.myanimelist.net/images/anime/3/53087.webp,
1096,Patlabor 2: The Movie,機動警察パトレイバー2 the Movie,1,1993,https://cdn.myanimelist.net/images/anime/6/74764.webp,https://www.youtube.com/watch?v=F4P8eOH89ow
1257,Saint Seiya: The Hades Chapter - Sanctuary,聖闘士星矢 冥王ハーデス十二宮編,13,2002,https://cdn.myanimelist.net/images/anime/1182/122016.webp,
1363,Case Closed Movie 04: Captured In Her Eyes,瞳の中の暗殺者,1,2000,https://cdn.myanimelist.net/images/anime/1196/94319.webp,
1364,Case Closed Movie 05: Countdown to Heaven,名探偵コナン 天国へのカウントダウン,1,2001,https://cdn.myanimelist.net/images/anime/1144/92654.webp,
1365,Case Closed Movie 06: The Phantom of Baker Street,名探偵コナン　ベイカー街(ストリート)の亡霊,1,2002,https://cdn.myanimelist.net/images/anime/1400/94320.webp,https://www.youtube.com/watch?v=W85AwzVtKEU
1367,Detective Conan Movie 08: Magician of the Silver Sky,名探偵コナン 銀翼の奇術師[マジシャン],1,2004,https://cdn.myanimelist.net/images/anime/2/20982.webp,
1382,GaoGaiGar Final,勇者王ガオガイガーFINAL,8,2000,https://cdn.myanimelist.net/images/anime/1187/132740.webp,
1453,Maison Ikkoku,めぞん一刻,96,1986,https://cdn.myanimelist.net/images/anime/6/17576.webp,https://www.youtube.com/watch?v=et7jnupRe7Y
1471,,シティーハンター2,63,1988,https://cdn.myanimelist.net/images/anime/1272/138953.webp,
1486,Kodocha,こどものおもちゃ,102,1996,https://cdn.myanimelist.net/images/anime/5/7016.webp,https://www.youtube.com/watch?v=EEAmHlgY_AY
1506,Detective Conan Movie 10: The Private Eyes' Requiem,名探偵コナン　探偵たちの鎮魂歌[レクイエム],1,2006,https://cdn.myanimelist.net/images/anime/1919/94322.webp,
1842,,メジャー (第3シリーズ),26,2007,https://cdn.myanimelist.net/images/anime/9/73971.webp,
1914,Tales of Saiunkoku,彩雲国物語 第2シリーズ,39,2007,https://cdn.myanimelist.net/images/anime/1998/139962.webp,
1974,Glass Mask,ガラスの仮面 (2005),51,2005,https://cdn.myanimelist.net/images/anime/7/75061.webp,
2004,,花田少年史,25,2002,https://cdn.myanimelist.net/images/anime/2/87319.webp,
2076,The File of Young Kindaichi,金田一少年の事件簿,148,1997,https://cdn.myanimelist.net/images/anime/1702/120440.webp,
2150,,楽しいムーミン一家,78,1990,https://cdn.myanimelist.net/images/anime/13/26765.webp,
2402,Tomorrow's Joe,あしたのジョー,79,1970,https://cdn.myanimelist.net/images/anime/5/64671.webp,
2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,攻殻機動隊 Stand Alone Complex - The Laughing Man,1,2005,https://cdn.myanimelist.net/images/anime/1127/141116.webp,
2559,Romeo and the Black Brothers,ロミオの青い空,33,1995,https://cdn.myanimelist.net/images/anime/4/17979.webp,
2563,Aria the OVA: Arietta,ARIA The OVA ~ARIETTA~ (アリア ジ オーブイエー ~アリエッタ~),1,2007,https://cdn.myanimelist.net/images/anime/11/77622.webp,https://www.youtube.com/watch?v=AmDvXksfPmo
2618,Treasure Island,宝島,26,1978,https://cdn.myanimelist.net/images/anime/11/56123.webp,https://www.youtube.com/watch?v=YLc4-jMRnBs
2685,Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,ツバサ TOKYO REVELATIONS,3,2007,https://cdn.myanimelist.net/images/anime/4/49129.webp,https://www.youtube.com/watch?v=I6IW3hP_H1E
2921,Tomorrow's Joe 2,あしたのジョー２,47,1980,https://cdn.myanimelist.net/images/anime/3/45028.webp,https://www.youtube.com/watch?v=hJ5KjrjfD40
2951,Gintama: Jump Festa 2005 Special,銀魂〜何事も最初が肝心なので多少背伸びするくらいが丁度良い〜,1,2005,https://cdn.myanimelist.net/images/anime/1897/139500.webp,
3016,Legend of the Galactic Heroes: Overture to a New War,銀河英雄伝説外伝　新たなる戦いの序曲[オーヴァチュア],1,1993,https://cdn.myanimelist.net/images/anime/8/22498.webp,https://www.youtube.com/watch?v=RyXZPQaAHag
3226,,メジャー　（第4シリーズ),26,2008,https://cdn.myanimelist.net/images/anime/9/75217.webp,
3371,Legend of the Galactic Heroes Gaiden,銀河英雄伝説外伝／千億の星、千億の光,24,1998,https://cdn.myanimelist.net/images/anime/9/28463.webp,
3665,Legend of the Galactic Heroes Gaiden (1999),銀河英雄伝説外伝 螺旋迷宮,28,1999,https://cdn.myanimelist.net/images/anime/1682/134157.webp,
4918,,xxxHOLiC 春夢記,2,2009,https://cdn.myanimelist.net/images/anime/12/25079.webp,
4921,Ramayana: The Legend of Prince Rama,ラーマーヤナ ラーマ王子伝説,1,1993,https://cdn.myanimelist.net/images/anime/1070/104671.webp,https://www.youtube.com/watch?v=42tDHKICVOM
4938,Tsubasa RESERVoir CHRoNiCLE: Spring Thunder Chronicle,ツバサ 春雷記,2,2009,https://cdn.myanimelist.net/images/anime/9/33841.webp,
5028,,メジャー,25,2009,https://cdn.myanimelist.net/images/anime/9/75218.webp,
5029,,劇場版MAJOR 友情の一球（ウイニングショット）,1,2008,https://cdn.myanimelist.net/images/anime/10/75221.webp,https://www.youtube.com/watch?v=JPfdm7NRL0o
5365,La Maison en Petits Cubes,つみきのいえ,1,2008,https://cdn.myanimelist.net/images/anime/1063/117013.webp,https://www.youtube.com/watch?v=_vgP8Webz3o
5420,The Beast Player Erin,獣の奏者エリン,50,2009,https://cdn.myanimelist.net/images/anime/9/19845.webp,
5460,Detective Conan Movie 13: The Raven Chaser,名探偵コナン漆黒の追跡者(チェイサー),1,2009,https://cdn.myanimelist.net/images/anime/2/22558.webp,
6336,Mobile Suit Gundam Unicorn,機動戦士ガンダムUC（ユニコーン）,7,2010,https://cdn.myanimelist.net/images/anime/12/50459.webp,https://www.youtube.com/watch?v=I0J_HTYx31w
6467,Detective Conan Movie 14: The Lost Ship in the Sky,名探偵コナン 天空の難破船,1,2010,https://cdn.myanimelist.net/images/anime/7/22312.webp,
6864,,xxxHOLiC 籠,2,2010,https://cdn.myanimelist.net/images/anime/9/25080.webp,https://www.youtube.com/watch?v=ShLL9VntNXY
6945,Gintama: Jump Festa 2008 Special,ジャンプアニメツアー 2008 白夜叉降誕,1,2008,https://cdn.myanimelist.net/images/anime/6/16161.webp,
7655,,メジャー 第6シリーズ,25,2010,https://cdn.myanimelist.net/images/anime/2/75216.webp,https://www.youtube.com/watch?v=F07zIMLLya8
9130,Saint Seiya: The Lost Canvas 2,聖闘士星矢 THE LOST CANVAS 冥王神話 2,13,2011,https://cdn.myanimelist.net/images/anime/12/29597.webp,https://www.youtube.com/watch?v=CXdBvEjyN2U
9204,Heart and Yummie,おまえうまそうだな,1,2010,https://cdn.myanimelist.net/images/anime/11/27167.webp,https://www.youtube.com/watch?v=EyTTrNEtGYc
9735,,銀魂 新訳紅桜篇,1,2010,https://cdn.myanimelist.net/images/anime/12/26966.webp,
9890,,メジャー・メッセージ,1,2010,https://cdn.myanimelist.net/images/anime/11/75219.webp,
9963,Detective Conan Movie 15: Quarter of Silence,名探偵コナン 沈黙の15分,1,2011,https://cdn.myanimelist.net/images/anime/9/32035.webp,https://www.youtube.com/watch?v=_FzJB0xjbvQ
9996,,へうげもの,39,2011,https://cdn.myanimelist.net/images/anime/3/77282.webp,
10153,Magical Girl Lyrical Nanoha: The Movie 2nd A's,魔法少女リリカルなのは The MOVIE 2nd A's,1,2012,https://cdn.myanimelist.net/images/anime/1511/94432.webp,https://www.youtube.com/watch?v=sp9Qf55b3hs
10534,Doraemon: Nobita and the Steel Troops - The New Age,映画 ドラえもん 新・のび太と鉄人兵団～はばたけ 天使たち～,1,2011,https://cdn.myanimelist.net/images/anime/7/72436.webp,https://www.youtube.com/watch?v=p7PtiTGk7EU
10643,,アニメ銀魂　大反省会,1,2010,https://cdn.myanimelist.net/images/anime/1725/110927.webp,
10937,Mobile Suit Gundam: The Origin,機動戦士ガンダムTHE ORIGIN,6,2015,https://cdn.myanimelist.net/images/anime/4/72702.webp,https://www.youtube.com/watch?v=XVPSq_fpKf4
11917,,メジャー ワールドシリーズ編,2,2011,https://cdn.myanimelist.net/images/anime/5/75220.webp,
12069,Fighting Spirit Special,はじめの一歩 THE FIGHTING! ボクサーの拳,1,2003,https://cdn.myanimelist.net/images/anime/2/84664.webp,
15323,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,ワンピースエピソード・オブ・ナミ～航海士の涙と仲間の絆～,1,2012,https://cdn.myanimelist.net/images/anime/5/41415.webp,
17739,Hidamari Sketch: Sae & Hiro Graduation,ひだまりスケッチ 沙英ヒロ 卒業編,2,2013,https://cdn.myanimelist.net/images/anime/1954/132952.webp,https://www.youtube.com/watch?v=j3TGSe5t0iE
19123,One Piece: Episode of Merry - The Tale of One More Friend,ワンピース エピソード・オブ・メリー ～もうひとりの仲間の物語～,1,2013,https://cdn.myanimelist.net/images/anime/9/61015.webp,
20651,Natsume’s Book of Friends: On a Certain Snowy Day,夏目友人帳 新作OVA いつかゆきのひに,1,2014,https://cdn.myanimelist.net/images/anime/11/79742.webp,
21419,Detective Conan Movie 18: The Sniper from Another Dimension,名探偵コナン　異次元の狙撃手（スナイパー）,1,2014,https://cdn.myanimelist.net/images/anime/11/60289.webp,https://www.youtube.com/watch?v=XQG4DG7zCH0
21469,,STAND BY ME ドラえもん,1,2014,https://cdn.myanimelist.net/images/anime/9/65571.webp,https://www.youtube.com/watch?v=RP-KqRkDWS0
21899,,銀魂 よりぬき銀魂さんオンシアター2D,2,2012,https://cdn.myanimelist.net/images/anime/1172/90571.webp,
25313,,銀魂 〜布団に入ってから拭き残しに気付いて寝るに寝れない時もある〜,1,2015,https://cdn.myanimelist.net/images/anime/1327/110925.webp,
27663,,ベイビーステップ 第2シリーズ,25,2015,https://cdn.myanimelist.net/images/anime/9/73683.webp,
29831,,たまゆら～卒業写真～ 第4部 朝-あした-,1,2016,https://cdn.myanimelist.net/images/anime/1697/134884.webp,https://www.youtube.com/watch?v=Zq3DTv-nlBc
30364,Haikyuu!! the Movie: The Winner and the Loser,ハイキュー!! 勝者と敗者,1,2015,https://cdn.myanimelist.net/images/anime/2/74813.webp,https://www.youtube.com/watch?v=lIVgCyNF9nc
31149,Persona 3 the Movie: #4 Winter of Rebirth,PERSONA3 THE MOVIE —#4 Winter of Rebirth—,1,2016,https://cdn.myanimelist.net/images/anime/9/77828.webp,https://www.youtube.com/watch?v=b7rwuFHkF-c
32005,Detective Conan Movie 20: The Darkest Nightmare,劇場版　名探偵コナン　純黒の悪夢（ナイトメア）,1,2016,https://cdn.myanimelist.net/images/anime/10/78894.webp,https://www.youtube.com/watch?v=bXkzfhqEKa8
32122,,銀魂 〜美味いモノは後回しにすると横取りされるからやっぱり先に食え〜,1,2015,https://cdn.myanimelist.net/images/anime/1720/110926.webp,
32366,Gintama: Love Incense Arc,銀魂　愛染香篇,2,2016,https://cdn.myanimelist.net/images/anime/1962/133573.webp,
32843,Symphogear XV,戦姫絶唱シンフォギアXV,13,2019,https://cdn.myanimelist.net/images/anime/1899/101966.webp,https://www.youtube.com/watch?v=Gl3vAScd2sk
33323,,神様はじめました「神様、幸せになる」,1,2016,https://cdn.myanimelist.net/images/anime/4/83437.webp,
34036,Detective Conan: Episode One - The Great Detective Turned Small,名探偵コナン エピソードONE 小さくなった名探偵,1,2016,https://cdn.myanimelist.net/images/anime/5/81968.webp,
